cdr_id,caller_phone_id,receiver_phone_id,call_timestamp,duration_seconds,call_type,cell_tower_id,location_id,reference_evidence_id
CDR-1001,PH-1002,PH-1001,2026-06-09 11:05:00,245,VOICE,T-4401,LOC-102,EVD-003
CDR-1002,PH-1001,PH-1003,2026-06-09 11:20:00,410,VOICE,T-4401,LOC-101,EVD-003
CDR-1003,PH-1003,PH-1004,2026-06-09 13:45:00,180,VOICE,T-4401,LOC-103,EVD-003
CDR-1004,PH-1002,PH-1008,2026-06-09 14:15:00,312,VOICE,T-4401,LOC-102,EVD-003
CDR-1005,PH-9908,PH-1003,2026-06-09 14:50:00,95,VOICE,T-4401,LOC-104,EVD-003
CDR-1006,PH-1003,PH-1012,2026-06-09 15:10:00,145,VOICE,T-4401,LOC-103,EVD-003
CDR-1007,PH-1001,PH-1003,2026-06-11 09:30:00,520,VOICE,T-4401,LOC-101,EVD-003
CDR-1008,PH-1003,PH-1005,2026-06-11 12:00:00,680,VOICE,T-2001,LOC-202,EVD-003
CDR-1009,PH-1005,PH-1007,2026-08-07 14:00:00,310,VOICE,T-2001,LOC-201,EVD-002
CDR-1010,PH-1003,PH-1007,2026-08-07 15:15:00,195,VOICE,T-2001,LOC-202,EVD-002
CDR-1011,PH-1005,PH-1006,2026-08-07 16:30:00,440,VOICE,T-2001,LOC-201,EVD-002
CDR-1012,PH-1006,PH-1013,2026-08-07 17:00:00,120,VOICE,T-2002,LOC-203,EVD-002
CDR-1013,PH-1005,PH-1011,2026-08-09 20:15:00,890,VOICE,T-2001,LOC-201,EVD-002
CDR-1014,PH-1010,PH-9908,2026-05-28 16:10:00,45,SMS,T-4402,LOC-104,EVD-003
